,predict,relation
17610,gifts for their loved ones.,xNeed
17611,PersonX gets a raise == PersonX buys a new car.,xAttr
17612,PersonX is proud of PersonX's work == PersonX wants to apply for a promotion.,xWant
17613,PersonX wants to have a clean face.,oWant
17614,PersonX locks their important documents in their room.,xAttr
17615,PersonX finally saved up enough money to buy a new car.,xAttr
17616,PersonX rushes out the door.,xReact
17617,PersonY avoids PersonX.,oEffect
17618,PersonX opens a savings account.,xNeed
17619,PersonX drives to the gas station.,xNeed
17620,PersonY walks away in silence.,xIntent
17621,PersonY expresses gratitude towards PersonX.,oWant
17622,PersonX blows a bubble == PersonX watches where the bubble goes.,xEffect
17623,PersonX saves money to buy a bike.,xAttr
17624,PersonX hikes up a mountain.,xAttr
17625,PersonX tucks a flower behind PersonY's ear.,xWant
17626,PersonX can't stop laughing.,oReact
17627,PersonY go to see his favorite singer.,xWant
17628,PersonX gives an acceptance speech.,oReact
17629,PersonX plays basketball after school.,xAttr
17630,PersonX talks to a customer service representative.,oReact
17631,PersonX is celebrating their retirement with a party.,xNeed
17632,PersonY feels more relaxed and comfortable.,oReact
17633,PersonX brings the food.,xAttr
17634,PersonX becomes skilled at painting.,xEffect
17635,opinions,oWant
17636,PersonX overslept.,xAttr
17637,PersonX leaves PersonY with all the work to do.,xAttr
17638,PersonX provides food for people.,xReact
17639,PersonX lies beside PersonY to relax.,xIntent
17640,PersonX sees PersonY smiling.,xReact
17641,PersonX sheds light on the question.,oReact
17642,PersonX gains confidence in their riding abilities.,xEffect
17643,PersonX smiles.,xReact
17644,PersonY forgives PersonX.,xEffect
17645,PersonX is practicing a dance routine.,oEffect
17646,"PersonX finds old childhood items and memories, making PersonX nostalgic.",xReact
17647,PersonX measures the wings.,xNeed
17648,PersonX brings PersonY a tray of food.,oWant
17649,Person Y continues to engage in stimulating conversation with Person X.,oWant
17650,PersonX receives a standing ovation.,xReact
17651,PersonX tells a joke.,xNeed
17652,PersonX is arrested.,oReact
17653,PersonX saves a cat.,xReact
17654,PersonX goes home.,xIntent
17655,PersonX laughs at PersonY's jokes.,xReact
17656,the leaky faucet,xNeed
17657,PersonX gets the project under way.,xAttr
17658,PersonX tastes the delicious soup.,xAttr
17659,PersonX buys a bottle of water today.,xIntent
17660,PersonX affects PersonX's health == develop a workout routine.,xNeed
17661,PersonY appreciates PersonX's gesture.,xReact
17662,PersonX inspires PersonY to pursue their dreams.,xAttr
17663,PersonX leaves PersonY's wallet behind.,xAttr
17664,thoughts and emotions.,xIntent
17665,PersonX gives PersonX's girlfriend a big smooch.,xWant
17666,PersonX writes their own song.,xAttr
17667,"Y smiles and says ""thank you.""",oEffect
17668,PersonX contemplates life's mysteries.,xReact
17669,PersonX receives a promotion == celebrate with coworkers.,xIntent
17670,PersonX purchases a new car at a discounted price.,xReact
17671,PersonX waits for PersonY to leave.,xNeed
17672,PersonX naps on the couch.,xAttr
17673,PersonX greets PersonY at the door.,oEffect
17674,PersonX studies English grammar.,xNeed
17675,PersonY feels pain in their fingers.,xIntent
17676,PersonX brings the milk back to the fridge.,xWant
17677,PersonX hesitates to move forward.,xEffect
17678,PersonX turns their passion into a career.,oReact
17679,PersonX falls asleep quickly.,xAttr
17680,PersonX puts the plan into effect.,xAttr
17681,PersonX is very late for work = missed an important meeting.,xAttr
17682,"PersonX uses PersonX's power to make PersonY appreciative for the aid, ""angry for being subjected to personxs control""",oReact
17683,time,xIntent
17684,PersonX becomes an actor == auditions for a role in a play,xEffect
17685,PersonX and PersonY have a heartfelt conversation.,oWant
17686,PersonX sees a mouse.,xEffect
17687,PersonX surrounds themselves with positive influences.,xNeed
17688,PersonX calls the police.,oWant
17689,PersonY feels grateful.,oEffect
17690,PersonX avenges PersonY's father's murder.,xIntent
17691,PersonX plays Monopoly and drinks beer.,xEffect
17692,PersonY feels grateful and offers to take PersonX out for dinner.,oWant
17693,PersonX and PersonY have a great conversation.,xReact
17694,PersonX commits to a strict diet plan.,xNeed
17695,"PersonX wakes up, rolls out of bed onto the floor.",xNeed
17696,PersonX finds the candy.,xEffect
17697,PersonX cries and seeks comfort from friends.,xReact
17698,PersonX feels faint.,xEffect
17699,PersonX shakes PersonY's hand.,oWant
17700,PersonX practices ballet every day.,xAttr
17701,PersonX finishes eating lunch.,xReact
17702,PersonX becomes physically violent towards PersonY.,xAttr
17703,PersonY eats the food.,xIntent
17704,PersonX destroys every building in the city.,xWant
17705,PersonX pampers PersonY.,xIntent
17706,"PersonX goes there every Friday.
",xReact
17707,PersonX is trying to avoid a collision.,xAttr
17708,PersonX helps PersonY fix the issue.,xWant
17709,PersonX goes on a road trip.,xWant
17710,"PersonX hangs a paper, causing others to be surprised and glance at the paper.",oEffect
17711,PersonX brings flowers for her sister.,xIntent
17712,PersonX celebrates with friends and family.,xAttr
17713,PersonX climbs the tree to find an apple.,xWant
17714,PersonX always wear a fancy hat.,xWant
17715,PersonX bends every piece of metal in sight.,xAttr
17716,PersonX forgets PersonX's list == PersonX goes back home to retrieve it,xEffect
17717,PersonX sees a doctor == PersonX is experiencing health issues.,xAttr
17718,PersonX goes to the dentist to get braces.,xWant
17719,PersonX's friends are now playing and learning.,oEffect
17720,PersonX remains neutral in the conflict.,xIntent
17721,PersonX nods in agreement.,xIntent
17722,PersonX is practicing guitar diligently.,xAttr
17723,PersonX hears PersonX's favorite song and starts singing along.,xAttr
17724,PersonX notices PersonY.,xWant
17725,PersonX evens asked for more information.,xReact
17726,PersonY is surprised and happy after learning the way.,xReact
17727,PersonX talks loudly on the phone while PersonY is trying to work.,xIntent
17728,PersonX collects payments from customers.,xWant
17729,PersonX finally hit the bullseye.,xIntent
17730,PersonX gives PersonY a thoughtful gift.,oReact
17731,PersonX returns home == relaxed,xReact
17732,PersonX wears comfortable shoes home.,xAttr
17733,PersonX helps PersonY stand back up.,xAttr
17734,PersonX is always late for work.,xAttr
17735,PersonX really paying attention == very informed,xReact
17736,PersonX invites their friends over for a party.,xEffect
17737,PersonX starts researching different types of businesses.,oReact
17738,PersonY follows PersonX's orders.,xIntent
17739,PersonY happily accepts the invitation.,xAttr
17740,PersonX switches to a different game.,xAttr
17741,PersonX breaks a plate.,xAttr
17742,PersonX goes on a safari trip.,xAttr
17743,PersonX walks toward PersonY == PersonX wants to ask PersonY for directions.,oWant
17744,PersonX declines the race challenge.,oWant
17745,PersonX tells PersonY his plans for the new project.,oWant
17746,PersonX takes the freshly baked cookies out of the oven.,xEffect
17747,PersonX finds their favorite meal waiting for them.,xReact
17748,Person X learns new concepts in mathematics class.,xWant
17749,PersonX has a medical issue.,oWant
17750,PersonY is fed dinner by PersonX.,oEffect
17751,"PersonX cooks food, turns on the oven.",xNeed
17752,PersonX and their friends celebrate at a party.,oWant
17753,Strain PersonY's neck muscles.,xWant
17754,Person X knows beans about quantum physics.,xReact
17755,PersonX grills the meat.,xIntent
17756,PersonX and PersonY have a picnic together.,xAttr
17757,PersonX gets pulled over by the police.,oWant
17758,PersonX fills out paperwork.,xWant
17759,PersonX starts taking horseback riding lessons.,xWant
17760,PersonX starts searching for PersonY's keys.,xWant
17761,their car,xIntent
17762,PersonX calls Uber for a ride.,xWant
17763,PersonX leaves their phone behind.,xIntent
17764,PersonX sends flowers to the hospital.,xWant
17765,"PersonX performs one's duties to understand what they need to do, to be motivated to the task.",xNeed
17766,PersonX leaves work == relieved.,xReact
17767,PersonX finds PersonY and gives them a hug.,oReact
17768,PersonX asks PersonY for their family's preferences.,xNeed
17769,PersonX is arrested by the police.,xReact
17770,PersonY sulked in the corner after PersonX took the wind out of their sails.,oWant
17771,PersonX introduces themselves to PersonY's parents.,oReact
17772,PersonX is mourned by friends and family.,xEffect
17773,PersonX completes the project.,xIntent
17774,PersonX cleans the kitchen == to have a clean kitchen.,xIntent
17775,PersonX reaches the destination.,xIntent
17776,PersonX becomes a highly sought-after lover.,xAttr
17777,PersonX updates their skills.,xIntent
17778,PersonX books a trip to a tropical island.,xIntent
17779,PersonX offers PersonY a listening ear.,xWant
17780,PersonX pulls out the chair.,xNeed
17781,PersonX gathers all the necessary ingredients.,xIntent
17782,PersonX enjoys cooking meals for themselves.,xIntent
17783,PersonX feels satisfied and happy after the event.,xReact
17784,PersonX buys flowers for PersonY's children.,oWant
17785,PersonX has a cell phone == to make calls.,xWant
17786,PersonX receives a promotion.,xReact
17787,PersonY thanks PersonX.,oWant
17788,PersonX steals money to buy food.,xNeed
17789,PersonX embarks on a thrilling expedition.,xAttr
17790,PersonY retaliates by hitting PersonX back.,oWant
17791,"PersonX stills liked painting, to show his liking for art.",xIntent
17792,is asked to give the seat back by PersonY.,xEffect
17793,PersonX breaks the silence == feels anxious.,xAttr
17794,PersonX receives medical treatment.,xWant
17795,PersonX immediately grabbed the wrapping paper to start wrapping the present.,xWant
17796,PersonX shapes PersonX's lives to be in control of their life.,xIntent
17797,PersonX completes PersonY's tasks effectively.,xAttr
17798,PersonX does bad things == PersonX needs to apologize.,xWant
17799,PersonX succeeds in their goal.,xAttr
17800,PersonX helps an elderly person cross the street.,xAttr
17801,PersonX makes the trip brings a camera.,xNeed
17802,PersonX starts researching solutions to the problem.,oReact
17803,PersonX learns to knit == Person Y wears the scarf.,oEffect
17804,PersonX takes a nap.,xReact
17805,PersonX sings a song.,oReact
17806,"PersonX makes PersonY discovery == ""to read personY's notes""",xNeed
17807,PersonX has a bad day at work == goes home and relaxes.,xWant
17808,PersonX puts his thoughts to paper.,xNeed
17809,PersonX sees the bigger pictures.,xEffect
17810,PersonX knows the guitar best.,xNeed
17811,PersonY feels bored and lonely.,xAttr
17812,PersonX finds a lost wallet.,xIntent
17813,PersonY thanks PersonX and shows them what they learned.,oWant
17814,planning what to cook for dinner,xEffect
17815,PersonX moves to a new country == to explore the local culture.,xWant
17816,PersonX catches a big fish.,xEffect
17817,PersonY agrees to the invitation.,xEffect
17818,PersonX ties PersonY's shoe because they were loose.,xWant
17819,PersonX hires a courier.,xWant
17820,PersonX is excited to hang out with friends.,xIntent
17821,PersonX celebrates his son's graduation.,xAttr
17822,PersonX proposed to PersonY.,oReact
17823,PersonX receives an award == PersonX is recognized for their excellent work.,xNeed
17824,PersonY is upset.,xReact
17825,PersonX passes the driving test.,xAttr
17826,PersonX reduces to a minimum the amount of sugar in their diet.,xReact
17827,PersonY stress levels reduce and sighs in relief.,oEffect
17828,a security guard.,oWant
17829,PersonX turns PersonY's old furniture into beautiful art pieces.,xAttr
17830,PersonX drinks wine == PersonX feels light headed and their belly feels warm.,xEffect
17831,PersonX teaches PersonY a valuable lesson.,xAttr
17832,PersonX arrives at their new apartment.,xNeed
17833,PersonX and PersonY go out on a date.,oReact
17834,PersonX holds back their tears.,oReact
17835,PersonY feels comforted and supported.,xReact
17836,PersonX recalls every detail.,xWant
17837,PersonX recently enrolled in a French language course.,xIntent
17838,PersonX makes a smart choice.,xWant
17839,PersonX watches TV anyway.,xIntent
17840,PersonX opens a new bank account to save money.,xNeed
17841,PersonX maintains PersonY system == to update the software.,xWant
17842,PersonX goes to the auto repair shop.,xWant
17843,PersonX turns PersonX's coat == it's raining outside.,xAttr
17844,PersonY thanks PersonX.,oWant
17845,PersonX finds a funny video to watch.,xEffect
17846,PersonX speaks English well.,xIntent
17847,PersonX and PersonY hug and laugh.,xReact
17848,PersonY receives tasks for the day.,xNeed
17849,PersonX stands straight and throws the ball back.,xWant
17850,PersonX improves their skills.,xReact
17851,PersonY is grateful for PersonX's help.,xAttr
17852,PersonX prepares for their upcoming beach vacation.,xEffect
17853,PersonX reads a lot == PersonX is knowledgeable.,xAttr
17854,PersonX rides a bike to school.,xEffect
17855,PersonX is setting up a photoshoot with PersonY.,xIntent
17856,PersonX laughs during the movie.,oEffect
17857,PersonX checks their bank account multiple times a day.,xReact
17858,PersonX catches the falling vase just in time.,oEffect
17859,PersonX makes PersonX's own troubles in the world.,xAttr
17860,PersonX gets rejected.,xEffect
